                    
.;2018-2021;2021;2022;2023
1;2,4;0,3;3,8;7,5
2;2,2;-0,8;1,0;6,1
3;1,1;1,9;2,0;-0,1
4;1,9;0,9;2,5;-0,4
5;2,6;2,4;3,7;3,1
6;0,2;-5,1;3,7;0,3
7;2,6;0,2;5,9;5,3
8;3,8;8,3;4,5;4,9
9;2,5;3,9;1,1;0,9
10;5,3;2,9;2,7;2,8
11;4,2;2,8;6,0;7,4
12;4,1;4,9;7,9;9,3
13;6,7;9,7;5,4;6,5
14;8,3;3,2;5,4;4,2
15;7,8;4,4;9,1;7,6
16;12,0;7,3;8,8;9,8
17;10,7;8,0;9,3;8,6
18;9,1;7,1;11,8;11,6
19;12,3;13,1;15,5;13,1
20;12,4;10,6;17,4;12,3
21;14,0;10,6;14,3;14,2
22;17,0;15,5;13,5;15,3
23;17,0;17,9;16,8;18,3
24;18,2;20,1;18,6;18,3
25;18,2;18,9;19,5;20,9
26;19,1;17,8;19,4;18,2
27;17,4;17,7;17,6;19,3
28;17,0;18,3;17,9;21,2
29;19,1;18,3;21,7;18,1
30;21,4;19,2;19,8;16,9
31;19,6;16,2;21,2;16,4
32;20,2;18,0;20,0;17,1
33;18,7;17,1;21,0;21,7
34;17,8;15,2;20,0;20,0
35;16,2;14,6;17,0;15,1
36;15,8;17,1;17,5;19,7
37;16,4;16,4;14,3;18,1
38;14,0;12,7;10,2;15,7
39;12,1;13,8;10,0;15,5
40;10,9;11,4;11,4;14,0
41;11,0;7,8;12,1;14,1
42;10,3;9,4;12,8;8,8
43;8,7;8,1;14,1;10,2
44;8,2;7,5;9,4;9,4
45;6,2;5,0;8,8;
46;5,3;6,1;4,9;
47;3,3;2,8;4,1;
48;2,6;2,0;2,4;
49;2,9;0,8;0,2;
50;3,6;4,7;-5,2;
51;3,9;0,1;6,0;
52;2,8;5,7;8,0;